Name,English Name,Operator,Output (MW),Latitude,Longitude
Zonnekwekerij Driezum,,,2.6,53.2970107,6.0576967
Zonnepark Lacustris,,,2.6,,
Zonnepark Royal Lankhorst Euronete,,,2.6,53.0238323,5.6643434
Zonneweide Overkamp,,,2.6,52.3297814,6.1158741
Zonnepark NPG Solar Dedemsvaart,,,2.58,52.5999833,6.4964036
Zonnepark Nunhem,,,2.55,51.2388813,5.9624735
Zonnepark Brinkenweg,,,2.5,52.1914780,6.0282556
Zonnepark Elzenbos,,,2.5,52.1001365,6.1657257
Zonnepark Vlaamseweg,,Dutch Green Energy,2.5,51.4979916,3.7781456
Zonnepark Zaltbommel,,,2.5,51.7987045,5.2815350
Zonnepark Leppagreide,,,2.4,53.0599641,5.8377855
Zonnepark SNB,,,2.4,,
Zonnepark Zuidwending,,,2.4,53.0830789,6.9317572
Zonnepark Boekelermeer,,,2.38,52.5978083,4.7552408
Zonnepark Oostindie,,Ecorus,2.3,53.1386167,6.3638184
Zonnepark de Baakermat,,,2.3,52.0741641,6.2222679
Zonneweide Technopark,,Lightsource bp,2.3,51.3576207,3.5564296
[unnamed],,,2.3,,
Zonnepark Aa Stroom,,,2.2,53.1030796,7.0240167
Zonnepark Donkerbroek,,GroenLeven,2.2,,
Zonnepark Heeten,,,2.2,52.3348460,6.2884488
Zonnepark De Rietstap,,,2.18,51.8602349,6.4737443
Solarpark Galecop,,,2.1,52.0604967,5.0797366
Zonnepark Oosterwolde,,GroenLeven,2.1,53.0342126,6.3578418
Zonnepark Heusden,,,2.02,51.3825612,5.7704494
Zonnecentrale Meikade,,,2,52.0469868,5.6097631
Zonnepark,,Evides,2,52.3987800,4.7767606
Zonnepark Beekweg,,,2,51.2725804,6.0911280
Zonnepark Entersestraat,,,2,,
Zonnepark Kloosterman,,,2,52.7483992,6.5848747
Zonnepark Leeuwenhorster Hoek,,,2,52.2454667,4.4739298
Zonnepark Vierverlaten,,Grunneger Power,2,53.2153668,6.4843581
Solarpark Azewijn,,Pfixx Solar,1.8,51.8902166,6.3263138
ZonneWIJde,,Breda DuurSaam,1.78,51.5985345,4.7470715
Zonnepark Deltahoek,,,1.7,51.3895907,3.5744705
Zonnepark Emst,,,1.7,,
Zonnepark Ketelsteeg,,Energie van Hollandsche bodem,1.7,51.8162652,5.2765229
Zonnepark Landpark Assisië,,,1.7,51.6186639,5.1893722
Zonnepark Bocholtz,,Enovos,1.66,,
Polycultuur Zonnepark de Mikkelhorst,,,1.6,53.1815924,6.6238042
Zonnepark Noorderdiep,,,1.6,53.0167263,6.9089776
Zonnepark Schinveld,,,1.6,50.9730520,5.9724870
Zonnepark Vooraard,,,1.6,51.4314459,5.3789465
Zonneweide Glimmen,,Energie Cooperatie Zonneweide Glimmen UA,1.6,53.1311087,6.6308714
Zonnepark Doorsneeweg,,,1.5,53.0709882,6.9361497
Zonnepark Hekweg,,,1.5,52.1219336,6.5402598
Zonnewal A32 Heerenveen,,,1.5,52.9382993,5.9562168
Zonnepark Altweerterheide,,,1.4,51.2184299,5.6909202
Zonnepark Diemen,,,1.36,,
Zonnepark 't Oor,,Energie van Hollandsche bodem,1.3,52.0833716,4.3527531
Zonnepark Nieuwendijk,,,1.3,51.7643845,4.9263835
Zonnepark Bergerden,,Lingewaard Energie,1.25,51.9262729,5.9026906
Zonnepark Dreefstraat,,,1.25,51.3875841,5.4363337
Zonnepark Boterberg,,,1.1,52.8224515,5.9656634
Zonnepark,,Haakman Flowerbulbs,1,52.3987800,4.7767606
